x,y,z_s,snr,image_positions,magnifications
1.7000000000000002,2.1,0.7,1.592062174348424,"[(0.5668287195254356, 0.9668287194922462), (2.832760707592649, 3.232760707607022)]","[3.3950156491221115, -0.09021482345986492]"
1.7000000000000002,2.128985507246377,0.7,3.3792933111396617,"[(0.5316227279680423, 1.0318618562308606)]",[3.4711355982587713]
1.7000000000000002,2.1,0.85,2.3986751463923084,"[(0.9111376183185403, 1.31113761832982)]",[2.4255733203200855]
1.7000000000000002,2.128985507246377,0.85,4.397378359263121,"[(0.8904123597705129, 1.361265971515408)]",[2.4537448555269443]
1.7000000000000002,2.1,0.9,0.1185136911858492,"[(0.9684198779459808, 1.3684198780019787)]",[2.2741127366250264]
1.7000000000000002,2.128985507246377,0.9,0.6788039556000949,"[(0.949678958843325, 1.4165146815429057)]",[2.298509768961809]
1.7000000000000002,2.1,0.65,1.482331231237083,"[(0.2987124444495316, 0.6987124443923667), (3.101257256731625, 3.5012572566846525)]","[4.432337752672624, -0.27208441407962153]"
1.7000000000000002,2.128985507246377,0.65,0.8101720191202089,"[(0.24797208077648067, 0.7798593907737659), (3.119823123460423, 3.5115131937656328)]","[4.516114722388181, -0.28773461156833274]"
1.7000000000000002,2.1,0.6,2.71283437697402,"[(3.637782619712137, 4.037782619712137)]",[-0.5721741141130561]
1.7000000000000002,2.128985507246377,0.6,0.9792779087215302,"[(3.660667459893002, 4.043682527297996)]",[-0.5869519588701726]
1.7000000000000002,2.157971014492753,0.6,1.5332177466356818,[],[]
1.7000000000000002,2.1,0.55,1.9521530863974297,"[(5.247914185975942, 5.647914185975942)]",[-1.1733995167153182]
1.7000000000000002,2.128985507246377,0.55,1.5264019269174949,"[(5.2795377091013, 5.645063371309699)]",[-1.1883839468787711]
1.7000000000000002,2.157971014492753,0.55,0.3235437567562366,"[(5.311378243731832, 5.641556988369932)]",[-1.2067418591421515]
1.7000000000000002,2.1,0.75,0.8409423543321152,"[(0.7275964191434195, 1.1275964191958066)]",[2.893081770119674]
1.7000000000000002,2.128985507246377,0.75,0.8722308649804236,"[(0.6997535724605574, 1.185037238089217)]",[2.9326788577226317]
1.7000000000000002,2.157971014492753,0.75,0.452702243663249,"[(0.671427637766916, 1.2442912305059302)]",[2.9843476772278965]
1.7000000000000002,2.1,0.8,0.3075380415672454,"[(0.834698369989003, 1.2346983699919065)]",[2.609433582446043]
1.7000000000000002,2.128985507246377,0.8,1.7155804483894728,"[(0.8111570202809643, 1.287715434940878)]",[2.641841691404935]
1.7000000000000002,2.157971014492753,0.8,0.448543363230475,"[(0.7872169733838235, 1.3421964508394273)]",[2.6711199133638064]
1.7000000000000002,2.1,1.05,0.827851975229102,"[(1.077595754326744, 1.4775957543233065)]",[2.036421000374797]
1.7000000000000002,2.128985507246377,1.05,0.3544065050316307,"[(1.0623815091518343, 1.5220804910379422)]",[2.0639891796134844]
1.7000000000000002,2.1,1.0,1.0042102959599724,"[(1.0485120102961016, 1.4485120103108358)]",[2.0964476185294942]
1.7000000000000002,2.128985507246377,1.0,0.4150968756976239,"[(1.03239063720204, 1.49392619972214)]",[2.1258339832195494]
1.7000000000000002,2.1,1.1,0.9642389452342884,"[(1.101809492989251, 1.5018094929413133)]",[1.995172413062596]
1.7000000000000002,2.128985507246377,1.1,8.335867995569242,"[(1.087333095579804, 1.5455411096913636)]",[2.0055472538460757]
1.7000000000000002,2.1,0.95,1.2855026395748723,"[(1.0129339736848482, 1.4129339736617421)]",[2.184265071948819]
1.7000000000000002,2.128985507246377,0.95,0.3813820083230147,"[(0.99567584901168, 1.4595090349836948)]",[2.197073141162493]
1.7000000000000002,2.157971014492753,0.95,0.279626841428702,"[(0.9781292062740478, 1.5070896027638627)]",[2.2176185733755753]
1.7000000000000002,2.1,1.3,10.693416281212528,"[(1.1682613961628412, 1.5682613961346277)]",[1.8526026201921464]
1.7000000000000002,2.128985507246377,1.3,0.3237926069726499,"[(1.1557405720587186, 1.6099932145469433)]",[1.8678197495035238]
1.7000000000000002,2.1,1.15,0.4820590491925653,"[(1.122279990947012, 1.5222799909477795)]",[1.9523689092451286]
1.7000000000000002,2.128985507246377,1.15,1.0927691606649548,"[(1.1084148753199987, 1.5653859022585253)]",[1.9622507366427604]
1.7000000000000002,2.157971014492753,1.15,0.2182522250908278,"[(1.094336426344116, 1.609250317803679)]",[1.9783707161424395]
1.7000000000000002,2.1,1.2,1.007650941050554,"[(1.139809196416702, 1.5398091964315996)]",[1.9063538884331255]
1.7000000000000002,2.128985507246377,1.2,0.7233268358938224,"[(1.1264643986714413, 1.582386013955302)]",[1.9299851511331194]
1.7000000000000002,2.157971014492753,1.2,0.4566656295930923,"[(1.1129066604978821, 1.625695392723002)]",[1.9455602101419551]
1.7000000000000002,2.1,1.35,0.993384059353301,"[(1.1799609517717913, 1.5799609518142035)]",[1.8278107437534956]
1.7000000000000002,2.128985507246377,1.35,1.5099970664255955,"[(1.1677716878167972, 1.6213567320741313)]",[1.8491561561637506]
1.7000000000000002,2.1,1.25,0.4484740893830006,"[(1.1549908748602007, 1.554990874890515)]",[1.8829397911283186]
1.7000000000000002,2.128985507246377,1.25,4.190239194817849,"[(1.1420842926868324, 1.5971161729659196)]",[1.8988505774005204]
